adj,noun,verb,adv,prep,art,punc
substantial,,,,,,
loving,,,,,,
afraid,,,,,,
understood,,,,,,
decisive,,,,,,
stimulating,,,,,,
cheerful,,,,,,
godly,,,,,,
brash,,,,,,
minor,,,,,,
untidy,,,,,,
murky,,,,,,
unequaled,,,,,,
rampant,,,,,,
statuesque,,,,,,
stiff,,,,,,
ludicrous,,,,,,
ossified,,,,,,
mammoth,,,,,,
foamy,,,,,,
attractive,,,,,,
windy,,,,,,
ceaseless,,,,,,
quirky,,,,,,
hesitant,,,,,,
historical,,,,,,
delirious,,,,,,
splendid,,,,,,
furtive,,,,,,
verdant,,,,,,
spotty,,,,,,
amused,,,,,,
tranquil,,,,,,
slippery,,,,,,
itchy,,,,,,
observant,,,,,,
giddy,,,,,,
common,,,,,,
joyous,,,,,,
tangible,,,,,,
barbarous,,,,,,
good,,,,,,
nonstop,,,,,,
wooden,,,,,,
reflective,,,,,,
nice,,,,,,
glorious,,,,,,
plastic,,,,,,
frail,,,,,,
telling,,,,,,
foregoing,,,,,,
rhetorical,,,,,,
resolute,,,,,,
longing,,,,,,
regular,,,,,,
fluttering,,,,,,
racial,,,,,,
freezing,,,,,,
thundering,,,,,,
private,,,,,,
dashing,,,,,,
workable,,,,,,
miscreant,,,,,,
ill,,,,,,
laughable,,,,,,
determined,,,,,,
loud,,,,,,
picayune,,,,,,
deserted,,,,,,
dysfunctional,,,,,,
shivering,,,,,,
onerous,,,,,,
high-pitched,,,,,,
annoying,,,,,,
dirty,,,,,,
aware,,,,,,
voiceless,,,,,,
fast,,,,,,
gamy,,,,,,
righteous,,,,,,
quixotic,,,,,,
grouchy,,,,,,
adorable,,,,,,
elfin,,,,,,
crowded,,,,,,
adventurous,,,,,,
certain,,,,,,
ruddy,,,,,,
volatile,,,,,,
merciful,,,,,,
befitting,,,,,,
cold,,,,,,
beneficial,,,,,,
mindless,,,,,,
frightening,,,,,,
therapeutic,,,,,,
versed,,,,,,
shaky,,,,,,
wrong,,,,,,
curvy,,,,,,
arrogant,,,,,,
weary,,,,,,
noisy,,,,,,
towering,,,,,,
tenuous,,,,,,
peaceful,,,,,,
abstracted,,,,,,
puffy,,,,,,
childlike,,,,,,
lively,,,,,,
unbecoming,,,,,,
giant,,,,,,
dusty,,,,,,
full,,,,,,
abject,,,,,,
addicted,,,,,,
wanting,,,,,,
ignorant,,,,,,
combative,,,,,,
necessary,,,,,,
important,,,,,,
brainy,,,,,,
big,,,,,,
lackadaisical,,,,,,
gleaming,,,,,,
best,,,,,,
changeable,,,,,,
thirsty,,,,,,
cluttered,,,,,,
watery,,,,,,
makeshift,,,,,,
perpetual,,,,,,
steady,,,,,,
unkempt,,,,,,
strange,,,,,,
dark,,,,,,
overwrought,,,,,,
icy,,,,,,
nifty,,,,,,
permissible,,,,,,
wiry,,,,,,
classy,,,,,,
bizarre,,,,,,
sick,,,,,,
wicked,,,,,,
low,,,,,,
likeable,,,,,,
idiotic,,,,,,
mighty,,,,,,
dapper,,,,,,
chubby,,,,,,
salty,,,,,,
glamorous,,,,,,
offbeat,,,,,,
woozy,,,,,,
yellow,,,,,,
optimal,,,,,,
unsuitable,,,,,,
rigid,,,,,,
daffy,,,,,,
obedient,,,,,,
wakeful,,,,,,
mountainous,,,,,,
plausible,,,,,,
few,,,,,,
pastoral,,,,,,
strong,,,,,,
woebegone,,,,,,
cruel,,,,,,
clean,,,,,,
alluring,,,,,,
pricey,,,,,,
scarce,,,,,,
gainful,,,,,,
unsightly,,,,,,
ill-informed,,,,,,
fragile,,,,,,
able,,,,,,
filthy,,,,,,
rural,,,,,,
sneaky,,,,,,
secret,,,,,,
hushed,,,,,,
wistful,,,,,,
hideous,,,,,,
aloof,,,,,,
huge,,,,,,
truthful,,,,,,
rebel,,,,,,
magical,,,,,,
descriptive,,,,,,
stupid,,,,,,
smiling,,,,,,
shiny,,,,,,
like,,,,,,
fretful,,,,,,
momentous,,,,,,
unique,,,,,,
dispensable,,,,,,
old,,,,,,
